iter	Passed	Remaining
225	597	2044
226	599	2040
227	601	2035
228	602	2029
229	604	2023
230	606	2018
231	607	2012
232	609	2006
233	611	2001
234	613	1996
235	614	1990
236	616	1984
237	618	1979
238	620	1974
239	621	1968
240	623	1962
241	624	1957
242	627	1955
243	630	1953
244	633	1951
245	634	1946
246	636	1940
247	638	1935
248	639	1929
249	641	1925
250	643	1920
251	645	1914
252	646	1909
253	648	1904
254	649	1898
255	651	1893
256	652	1887
257	654	1882
258	656	1879
259	659	1877
260	661	1873
261	663	1868
262	665	1863
263	666	1858
264	668	1853
265	669	1848
266	671	1842
267	672	1837
268	674	1832
269	675	1827
270	677	1822
271	679	1817
272	680	1812
273	682	1807
274	683	1802
275	685	1798
276	688	1796
277	691	1794
278	693	1792
279	695	1788
280	697	1784
281	699	1780
282	701	1776
283	703	1774
284	706	1771
285	708	1768
286	710	1764
287	712	1762
288	714	1758
289	716	1754
290	719	1752
291	721	1749
292	723	1745
293	725	1741
294	727	1738
295	729	1733
296	731	1730
297	733	1727
298	735	1724
299	737	1721
300	739	1717
301	741	1713
302	743	1709
303	744	1704
304	746	1701
305	749	1700
306	752	1698
307	754	1694
308	756	1691
309	758	1687
310	760	1684
311	762	1681
312	764	1677
313	766	1674
314	768	1671
315	770	1668
316	772	1664
317	773	1659
318	774	1653
319	776	1649
320	778	1646
321	780	1643
322	782	1640
323	784	1636
324	786	1633
325	788	1629
326	789	1625
327	791	1622
328	793	1618
329	795	1615
330	797	1612
331	799	1608
332	801	1604
333	803	1602
334	804	1596
335	806	1593
336	809	1592
337	811	1590
338	813	1586
339	815	1582
340	816	1578
341	818	1574
342	820	1571
343	822	1568
344	824	1565
345	826	1561
346	827	1558
347	829	1554
348	831	1550
349	833	1547
350	835	1544
351	838	1543
352	840	1539
353	842	1536
354	844	1534
355	846	1530
356	848	1527
357	849	1523
358	851	1521
359	853	1518
360	855	1514
361	857	1511
362	859	1507
363	860	1502
364	861	1499
365	863	1496
366	865	1493
367	868	1491
368	870	1487
369	872	1486
370	874	1482
371	876	1479
372	878	1476
373	879	1472
374	881	1469
375	883	1467
376	885	1463
377	887	1460
378	889	1457
379	891	1454
380	892	1450
381	894	1446
382	896	1443
383	898	1440
384	900	1438
385	903	1436
386	905	1433
387	906	1430
388	908	1426
389	909	1422
390	910	1418
391	912	1414
392	914	1411
393	915	1408
394	917	1404
395	918	1401
396	920	1397
397	921	1394
398	923	1390
399	924	1387
400	926	1383
401	927	1379
402	929	1377
403	931	1374
404	933	1371
405	935	1368
406	937	1365
407	938	1361
408	939	1358
409	941	1354
410	942	1351
411	944	1348
412	946	1344
413	947	1341
414	949	1338
415	950	1334
416	952	1331
417	953	1327
418	955	1324
419	956	1320
420	957	1317
421	959	1314
422	961	1311
423	964	1309
424	965	1306
425	967	1304
426	969	1300
427	970	1297
428	971	1293
429	972	1289
430	974	1286
431	976	1283
432	977	1280
433	979	1276
434	980	1273
435	981	1269
436	982	1266
437	983	1262
438	984	1258
439	986	1255
440	987	1251
441	988	1248
442	990	1245
443	991	1242
444	993	1238
445	994	1235
446	995	1232
447	997	1228
448	998	1224
449	999	1221
450	1000	1217
451	1001	1214
452	1002	1210
453	1003	1207
454	1005	1204
455	1007	1201
456	1008	1198
457	1010	1195
458	1012	1193
459	1013	1189
460	1015	1187
461	1016	1184
462	1018	1180
463	1019	1177
464	1021	1174
465	1022	1171
466	1024	1169
467	1025	1166
468	1027	1163
469	1028	1160
470	1030	1157
471	1032	1154
472	1033	1151
473	1033	1147
474	1034	1143
475	1035	1139
476	1036	1136
477	1037	1132
478	1037	1128
479	1038	1124
480	1039	1121
481	1039	1117
482	1040	1113
483	1040	1109
484	1041	1105
485	1041	1101
486	1042	1098
487	1043	1095
488	1045	1092
489	1046	1089
490	1047	1086
491	1049	1083
492	1051	1081
493	1055	1080
494	1057	1078
495	1058	1075
496	1060	1073
497	1062	1070
498	1063	1068
499	1065	1065
500	1067	1063
501	1069	1060
502	1071	1058
503	1073	1056
504	1074	1053
505	1077	1051
506	1079	1049
507	1083	1049
508	1086	1048
509	1089	1046
510	1091	1044
511	1093	1041
512	1095	1039
513	1097	1037
514	1099	1035
515	1100	1032
516	1102	1030
517	1104	1027
518	1106	1025
519	1107	1022
520	1109	1019
521	1111	1017
522	1113	1015
523	1115	1013
524	1117	1011
525	1119	1008
526	1121	1006
527	1123	1003
528	1124	1001
529	1125	997
530	1126	995
531	1129	993
532	1131	990
533	1133	988
534	1135	986
535	1136	984
536	1138	981
537	1140	979
538	1143	978
539	1146	976
540	1148	974
541	1151	972
542	1153	970
543	1155	968
544	1157	966
545	1159	964
546	1161	962
547	1163	959
548	1165	957
549	1167	954
550	1168	952
551	1170	950
552	1173	948
553	1175	946
554	1177	944
555	1179	941
556	1181	939
557	1182	936
558	1184	934
559	1186	932
560	1188	929
561	1190	928
562	1192	925
563	1194	923
564	1196	921
565	1198	919
566	1200	917
567	1204	916
568	1207	914
569	1210	913
570	1213	911
571	1215	909
572	1217	907
573	1219	905
574	1221	902
575	1223	900
576	1225	898
577	1227	896
578	1229	893
579	1230	891
580	1233	889
581	1235	887
582	1237	885
583	1239	882
584	1241	880
585	1242	877
586	1244	875
587	1245	872
588	1247	870
589	1248	867
590	1250	865
591	1251	862
592	1253	860
593	1254	857
594	1255	854
595	1256	851
596	1257	849
597	1259	846
598	1260	843
599	1261	840
600	1263	838
601	1265	836
602	1267	834
603	1268	831
604	1270	829
605	1271	826
606	1272	823
607	1273	821
608	1275	818
609	1276	816
610	1277	813
611	1279	811
612	1280	808
613	1282	806
614	1283	803
615	1284	800
616	1285	797
617	1286	795
618	1287	792
619	1289	790
620	1290	787
621	1291	784
622	1292	782
623	1294	779
624	1296	777
625	1297	775
626	1298	772
627	1300	770
628	1301	767
629	1302	765
630	1304	762
631	1305	760
632	1306	757
633	1307	754
634	1309	752
635	1310	750
636	1311	747
637	1313	745
638	1314	742
639	1316	740
640	1317	737
641	1318	735
642	1319	732
643	1320	730
644	1322	727
645	1324	725
646	1326	723
647	1327	721
648	1328	718
649	1330	716
650	1331	714
651	1333	711
652	1334	709
653	1336	706
654	1337	704
655	1339	702
656	1341	700
657	1342	697
658	1344	695
659	1346	693
660	1347	691
661	1349	688
662	1350	686
663	1353	684
664	1355	682
665	1358	681
666	1360	679
667	1362	677
668	1364	675
669	1366	672
670	1367	670
671	1370	668
672	1372	667
673	1374	664
674	1375	662
675	1377	660
676	1379	658
677	1381	656
678	1383	654
679	1386	652
680	1388	650
681	1391	648
682	1393	646
683	1395	644
684	1396	642
685	1398	640
686	1400	638
687	1402	636
688	1406	634
689	1409	633
690	1411	631
691	1414	629
692	1417	627
693	1419	626
694	1422	624
695	1424	622
696	1426	620
697	1428	618
698	1431	616
699	1435	615
700	1440	614
701	1443	612
702	1446	611
703	1449	609
704	1451	607
705	1453	605
706	1455	603
707	1457	601
708	1460	599
709	1462	597
710	1465	595
711	1468	593
712	1471	592
713	1473	590
714	1476	588
715	1479	586
716	1481	584
717	1483	582
718	1485	580
719	1487	578
720	1489	576
721	1492	574
722	1495	572
723	1497	570
724	1499	568
725	1502	566
726	1504	564
727	1507	563
728	1510	561
729	1512	559
730	1514	557
731	1517	555
732	1520	553
733	1521	551
734	1522	548
735	1525	547
736	1527	545
737	1529	543
738	1532	541
739	1535	539
740	1537	537
741	1539	535
742	1542	533
743	1544	531
744	1546	529
745	1548	527
746	1550	525
747	1552	523
748	1556	521
749	1559	519
750	1562	518
751	1565	516
752	1567	514
753	1569	512
754	1571	510
755	1574	508
756	1577	506
757	1579	504
758	1581	502
759	1582	499
760	1585	497
761	1587	495
762	1590	493
763	1592	491
764	1594	489
765	1596	487
766	1597	485
767	1600	483
768	1602	481
769	1604	479
770	1606	477
771	1607	474
772	1609	472
773	1610	470
774	1611	467
775	1613	465
776	1615	463
777	1617	461
778	1619	459
779	1620	457
780	1622	454
781	1623	452
782	1625	450
783	1626	448
784	1627	445
785	1629	443
786	1631	441
787	1632	439
788	1634	436
789	1635	434
790	1636	432
791	1638	430
792	1639	428
793	1641	425
794	1642	423
795	1644	421
796	1647	419
797	1649	417
798	1651	415
799	1653	413
800	1654	411
801	1655	408
802	1658	406
803	1660	404
804	1664	403
805	1664	400
806	1665	398
807	1666	396
808	1667	393
809	1668	391
810	1669	388
811	1670	386
812	1671	384
813	1671	382
814	1673	379
815	1675	377
816	1676	375
817	1677	373
818	1678	371
819	1680	368
820	1681	366
821	1681	364
822	1682	361
823	1683	359
824	1684	357
825	1685	355
826	1686	352
827	1687	350
828	1688	348
829	1689	346
830	1691	343
831	1691	341
832	1692	339
833	1693	337
834	1694	334
835	1696	332
836	1696	330
837	1697	328
838	1698	325
839	1699	323
840	1700	321
841	1701	319
842	1703	317
843	1705	315
844	1707	313
845	1709	311
846	1711	309
847	1712	306
848	1713	304
849	1714	302
850	1716	300
851	1717	298
852	1718	296
853	1719	293
854	1720	291
855	1721	289
856	1722	287
857	1723	285
858	1724	283
859	1725	280
860	1727	278
861	1728	276
862	1729	274
863	1730	272
864	1731	270
865	1732	268
866	1732	265
867	1733	263
868	1735	261
869	1736	259
870	1738	257
871	1739	255
872	1740	253
873	1741	251
874	1742	248
875	1743	246
876	1744	244
877	1745	242
878	1746	240
879	1747	238
880	1748	236
881	1750	234
882	1751	232
883	1752	229
884	1753	227
885	1755	225
886	1756	223
887	1757	221
888	1758	219
889	1759	217
890	1761	215
891	1762	213
892	1763	211
893	1765	209
894	1767	207
895	1768	205
896	1770	203
897	1772	201
898	1773	199
899	1774	197
900	1775	195
901	1777	193
902	1778	191
903	1779	188
904	1781	186
905	1782	184
906	1784	182
907	1785	180
908	1787	178
909	1788	176
910	1789	174
911	1790	172
912	1792	170
913	1793	168
914	1794	166
915	1796	164
916	1799	162
917	1801	160
918	1802	158
919	1803	156
920	1805	154
921	1806	152
922	1807	150
923	1809	148
924	1810	146
925	1814	144
926	1816	143
927	1818	141
928	1819	139
929	1821	137
930	1822	135
931	1824	133
932	1826	131
933	1829	129
934	1831	127
935	1832	125
936	1834	123
937	1836	121
938	1838	119
939	1839	117
940	1841	115
941	1843	113
942	1844	111
943	1846	109
944	1848	107
945	1849	105
946	1851	103
947	1852	101
948	1854	99
949	1856	97
950	1858	95
951	1860	93
952	1862	91
953	1864	89
954	1866	87
955	1868	85
956	1869	84
957	1871	82
958	1873	80
959	1875	78
960	1876	76
961	1878	74
962	1879	72
963	1881	70
964	1883	68
965	1884	66
966	1886	64
967	1889	62
968	1891	60
969	1893	58
970	1895	56
971	1896	54
972	1898	52
973	1899	50
974	1902	48
975	1904	46
976	1906	44
977	1908	42
978	1909	40
979	1911	39
980	1913	37
981	1914	35
982	1916	33
983	1918	31
984	1920	29
985	1923	27
986	1925	25
987	1926	23
988	1928	21
989	1929	19
990	1931	17
991	1933	15
992	1935	13
993	1936	11
994	1938	9
995	1939	7
996	1941	5
997	1943	3
998	1944	1
999	1946	0
