iter	Passed	Remaining
467	731	831
468	732	829
469	734	828
470	735	826
471	737	824
472	739	823
473	740	821
474	741	819
475	742	817
476	745	817
477	747	816
478	749	815
479	751	813
480	753	812
481	754	811
482	756	809
483	758	808
484	760	807
485	763	807
486	765	806
487	766	804
488	768	802
489	769	800
490	770	798
491	771	796
492	772	794
493	774	793
494	776	792
495	778	790
496	779	788
497	780	787
498	782	785
499	783	783
500	784	781
501	785	779
502	786	776
503	787	774
504	788	773
505	790	771
506	792	770
507	793	768
508	794	766
509	795	764
510	796	762
511	797	759
512	798	757
513	798	755
514	799	753
515	800	750
516	801	748
517	802	746
518	803	744
519	804	743
520	806	741
521	808	740
522	809	738
523	810	736
524	811	734
525	812	732
526	813	730
527	814	728
528	815	726
529	816	723
530	817	721
531	817	719
532	819	717
533	820	715
534	821	713
535	822	711
536	823	709
537	824	707
538	824	705
539	825	703
540	826	701
541	827	699
542	828	697
543	829	695
544	829	692
545	830	690
546	831	688
547	832	686
548	834	685
549	836	684
550	837	682
551	838	680
552	840	679
553	841	677
554	842	675
555	843	673
556	844	671
557	845	669
558	846	667
559	848	666
560	850	665
561	851	663
562	853	662
563	854	660
564	855	658
565	857	657
566	858	655
567	858	653
568	860	651
569	861	649
570	863	648
571	865	647
572	868	646
573	870	645
574	871	644
575	873	642
576	874	641
577	876	640
578	878	639
579	881	638
580	883	637
581	886	636
582	887	635
583	889	633
584	890	631
585	893	631
586	896	630
587	898	629
588	900	628
589	902	627
590	904	625
591	905	624
592	908	623
593	913	624
594	915	623
595	918	622
596	919	621
597	922	620
598	926	619
599	928	619
600	930	617
601	931	615
602	932	614
603	934	612
604	937	612
605	941	612
606	944	611
607	946	610
608	948	609
609	953	609
610	957	609
611	959	608
612	962	607
613	964	606
614	967	605
615	971	605
616	972	603
617	974	602
618	976	600
619	978	599
620	980	598
621	983	597
622	987	597
623	991	597
624	993	595
625	995	594
626	998	593
627	1001	593
628	1004	592
629	1007	591
630	1009	590
631	1012	589
632	1015	588
633	1019	588
634	1021	587
635	1023	585
636	1026	584
637	1029	584
638	1031	582
639	1033	581
640	1035	579
641	1037	578
642	1038	576
643	1040	575
644	1043	574
645	1045	572
646	1047	571
647	1048	569
648	1050	568
649	1052	566
650	1053	564
651	1055	563
652	1057	562
653	1060	560
654	1061	559
655	1063	557
656	1064	555
657	1065	553
658	1067	552
659	1068	550
660	1069	548
661	1072	547
662	1075	546
663	1077	545
664	1079	543
665	1081	542
666	1083	540
667	1085	539
668	1087	538
669	1090	536
670	1091	535
671	1093	533
672	1094	531
673	1095	529
674	1098	528
675	1098	526
676	1099	524
677	1103	524
678	1106	523
679	1108	521
680	1110	520
681	1111	518
682	1113	516
683	1116	515
684	1118	514
685	1121	513
686	1123	511
687	1125	510
688	1127	509
689	1130	508
690	1132	506
691	1135	505
692	1136	503
693	1139	502
694	1141	500
695	1142	499
696	1144	497
697	1148	496
698	1150	495
699	1152	494
700	1154	492
701	1155	490
702	1157	488
703	1158	487
704	1162	486
705	1166	485
706	1168	484
707	1170	482
708	1171	480
709	1173	479
710	1176	478
711	1179	477
712	1180	475
713	1181	473
714	1183	471
715	1185	470
716	1186	468
717	1188	466
